"Region","Age","year","PopSize","ageGroup2","ageGroup3","ageGroup5","ageGroup6","ageGroup7"
"East Midlands",49,2006,56631,"adults","2-64","31-64","45-64","45-64"
"East Midlands",49,2007,58814,"adults","2-64","31-64","45-64","45-64"
"East Midlands",49,2008,60089,"adults","2-64","31-64","45-64","45-64"
"East Midlands",49,2009,61675,"adults","2-64","31-64","45-64","45-64"
"East Midlands",49,2010,64048,"adults","2-64","31-64","45-64","45-64"
"East Midlands",49,2011,65856,"adults","2-64","31-64","45-64","45-64"
"East Midlands",49,2012,67823,"adults","2-64","31-64","45-64","45-64"
"East Midlands",49,2013,68794,"adults","2-64","31-64","45-64","45-64"
"East Midlands",49,2014,69911,"adults","2-64","31-64","45-64","45-64"
"East Midlands",49,2015,69191,"adults","2-64","31-64","45-64","45-64"
"East Midlands",49,2016,69539,"adults","2-64","31-64","45-64","45-64"
"East Midlands",49,2017,69158,"adults","2-64","31-64","45-64","45-64"
"East Midlands",49,2018,69989,"adults","2-64","31-64","45-64","45-64"
"East Midlands",49,2019,66971,"adults","2-64","31-64","45-64","45-64"
"East Midlands",49,2020,69710,"adults","2-64","31-64","45-64","45-64"
"East Midlands",49,2021,66603,"adults","2-64","31-64","45-64","45-64"
"East Midlands",49,2022,63178,"adults","2-64","31-64","45-64","45-64"
"East Midlands",49,2023,60211,"adults","2-64","31-64","45-64","45-64"
"East Midlands",49,2024,60211,"adults","2-64","31-64","45-64","45-64"
"East Midlands",50,2001,54384,"adults","2-64","31-64","45-64","45-64"
"East Midlands",50,2002,54103,"adults","2-64","31-64","45-64","45-64"
"East Midlands",50,2003,54133,"adults","2-64","31-64","45-64","45-64"
"East Midlands",50,2004,54492,"adults","2-64","31-64","45-64","45-64"
"East Midlands",50,2005,53524,"adults","2-64","31-64","45-64","45-64"
"East Midlands",50,2006,55107,"adults","2-64","31-64","45-64","45-64"
"East Midlands",50,2007,56550,"adults","2-64","31-64","45-64","45-64"
"East Midlands",50,2008,58961,"adults","2-64","31-64","45-64","45-64"
"East Midlands",50,2009,60143,"adults","2-64","31-64","45-64","45-64"
"East Midlands",50,2010,61677,"adults","2-64","31-64","45-64","45-64"
"East Midlands",50,2011,64111,"adults","2-64","31-64","45-64","45-64"
"East Midlands",50,2012,65924,"adults","2-64","31-64","45-64","45-64"
"East Midlands",50,2013,67802,"adults","2-64","31-64","45-64","45-64"
"East Midlands",50,2014,68789,"adults","2-64","31-64","45-64","45-64"
"East Midlands",50,2015,69938,"adults","2-64","31-64","45-64","45-64"
"East Midlands",50,2016,69305,"adults","2-64","31-64","45-64","45-64"
"East Midlands",50,2017,69830,"adults","2-64","31-64","45-64","45-64"
"East Midlands",50,2018,69377,"adults","2-64","31-64","45-64","45-64"
"East Midlands",50,2019,70106,"adults","2-64","31-64","45-64","45-64"
"East Midlands",50,2020,66923,"adults","2-64","31-64","45-64","45-64"
"East Midlands",50,2021,69966,"adults","2-64","31-64","45-64","45-64"
"East Midlands",50,2022,66716,"adults","2-64","31-64","45-64","45-64"
"East Midlands",50,2023,63269,"adults","2-64","31-64","45-64","45-64"
"East Midlands",50,2024,63269,"adults","2-64","31-64","45-64","45-64"
"East Midlands",51,2001,56767,"adults","2-64","31-64","45-64","45-64"
"East Midlands",51,2002,54515,"adults","2-64","31-64","45-64","45-64"
"East Midlands",51,2003,54050,"adults","2-64","31-64","45-64","45-64"
"East Midlands",51,2004,54110,"adults","2-64","31-64","45-64","45-64"
"East Midlands",51,2005,54570,"adults","2-64","31-64","45-64","45-64"
"East Midlands",51,2006,53497,"adults","2-64","31-64","45-64","45-64"
"East Midlands",51,2007,55090,"adults","2-64","31-64","45-64","45-64"
"East Midlands",51,2008,56649,"adults","2-64","31-64","45-64","45-64"
"East Midlands",51,2009,59024,"adults","2-64","31-64","45-64","45-64"
"East Midlands",51,2010,60083,"adults","2-64","31-64","45-64","45-64"
"East Midlands",51,2011,61573,"adults","2-64","31-64","45-64","45-64"
"East Midlands",51,2012,64009,"adults","2-64","31-64","45-64","45-64"
"East Midlands",51,2013,65881,"adults","2-64","31-64","45-64","45-64"
"East Midlands",51,2014,67827,"adults","2-64","31-64","45-64","45-64"
"East Midlands",51,2015,68758,"adults","2-64","31-64","45-64","45-64"
"East Midlands",51,2016,70086,"adults","2-64","31-64","45-64","45-64"
"East Midlands",51,2017,69466,"adults","2-64","31-64","45-64","45-64"
"East Midlands",51,2018,69961,"adults","2-64","31-64","45-64","45-64"
"East Midlands",51,2019,69462,"adults","2-64","31-64","45-64","45-64"
"East Midlands",51,2020,70029,"adults","2-64","31-64","45-64","45-64"
"East Midlands",51,2021,67096,"adults","2-64","31-64","45-64","45-64"
"East Midlands",51,2022,70224,"adults","2-64","31-64","45-64","45-64"
"East Midlands",51,2023,66804,"adults","2-64","31-64","45-64","45-64"
"East Midlands",51,2024,66804,"adults","2-64","31-64","45-64","45-64"
"East Midlands",52,2001,58001,"adults","2-64","31-64","45-64","45-64"
"East Midlands",52,2002,56817,"adults","2-64","31-64","45-64","45-64"
"East Midlands",52,2003,54504,"adults","2-64","31-64","45-64","45-64"
"East Midlands",52,2004,54011,"adults","2-64","31-64","45-64","45-64"
"East Midlands",52,2005,54200,"adults","2-64","31-64","45-64","45-64"
"East Midlands",52,2006,54649,"adults","2-64","31-64","45-64","45-64"
"East Midlands",52,2007,53472,"adults","2-64","31-64","45-64","45-64"
"East Midlands",52,2008,55129,"adults","2-64","31-64","45-64","45-64"
"East Midlands",52,2009,56562,"adults","2-64","31-64","45-64","45-64"
"East Midlands",52,2010,58914,"adults","2-64","31-64","45-64","45-64"
"East Midlands",52,2011,60059,"adults","2-64","31-64","45-64","45-64"
"East Midlands",52,2012,61550,"adults","2-64","31-64","45-64","45-64"
"East Midlands",52,2013,63989,"adults","2-64","31-64","45-64","45-64"
"East Midlands",52,2014,65843,"adults","2-64","31-64","45-64","45-64"
"East Midlands",52,2015,67796,"adults","2-64","31-64","45-64","45-64"
"East Midlands",52,2016,68833,"adults","2-64","31-64","45-64","45-64"
"East Midlands",52,2017,70162,"adults","2-64","31-64","45-64","45-64"
"East Midlands",52,2018,69532,"adults","2-64","31-64","45-64","45-64"
"East Midlands",52,2019,70037,"adults","2-64","31-64","45-64","45-64"
"East Midlands",52,2020,69396,"adults","2-64","31-64","45-64","45-64"
"East Midlands",52,2021,70196,"adults","2-64","31-64","45-64","45-64"
"East Midlands",52,2022,67216,"adults","2-64","31-64","45-64","45-64"
"East Midlands",52,2023,70373,"adults","2-64","31-64","45-64","45-64"
"East Midlands",52,2024,70373,"adults","2-64","31-64","45-64","45-64"
"East Midlands",53,2001,62459,"adults","2-64","31-64","45-64","45-64"
"East Midlands",53,2002,58085,"adults","2-64","31-64","45-64","45-64"
"East Midlands",53,2003,56792,"adults","2-64","31-64","45-64","45-64"
"East Midlands",53,2004,54459,"adults","2-64","31-64","45-64","45-64"
"East Midlands",53,2005,53994,"adults","2-64","31-64","45-64","45-64"
"East Midlands",53,2006,54174,"adults","2-64","31-64","45-64","45-64"
"East Midlands",53,2007,54643,"adults","2-64","31-64","45-64","45-64"
"East Midlands",53,2008,53547,"adults","2-64","31-64","45-64","45-64"
"East Midlands",53,2009,55093,"adults","2-64","31-64","45-64","45-64"
"East Midlands",53,2010,56474,"adults","2-64","31-64","45-64","45-64"
"East Midlands",53,2011,58826,"adults","2-64","31-64","45-64","45-64"
"East Midlands",53,2012,59988,"adults","2-64","31-64","45-64","45-64"
"East Midlands",53,2013,61529,"adults","2-64","31-64","45-64","45-64"
"East Midlands",53,2014,63937,"adults","2-64","31-64","45-64","45-64"
"East Midlands",53,2015,65956,"adults","2-64","31-64","45-64","45-64"
"East Midlands",53,2016,67906,"adults","2-64","31-64","45-64","45-64"
"East Midlands",53,2017,68919,"adults","2-64","31-64","45-64","45-64"
"East Midlands",53,2018,70243,"adults","2-64","31-64","45-64","45-64"
"East Midlands",53,2019,69465,"adults","2-64","31-64","45-64","45-64"
"East Midlands",53,2020,69877,"adults","2-64","31-64","45-64","45-64"
"East Midlands",53,2021,69653,"adults","2-64","31-64","45-64","45-64"
"East Midlands",53,2022,70233,"adults","2-64","31-64","45-64","45-64"
"East Midlands",53,2023,67190,"adults","2-64","31-64","45-64","45-64"
"East Midlands",53,2024,67190,"adults","2-64","31-64","45-64","45-64"
"East Midlands",54,2001,65783,"adults","2-64","31-64","45-64","45-64"
"East Midlands",54,2002,62527,"adults","2-64","31-64","45-64","45-64"
"East Midlands",54,2003,58007,"adults","2-64","31-64","45-64","45-64"
"East Midlands",54,2004,56670,"adults","2-64","31-64","45-64","45-64"
"East Midlands",54,2005,54483,"adults","2-64","31-64","45-64","45-64"
"East Midlands",54,2006,53966,"adults","2-64","31-64","45-64","45-64"
"East Midlands",54,2007,54171,"adults","2-64","31-64","45-64","45-64"
"East Midlands",54,2008,54741,"adults","2-64","31-64","45-64","45-64"
"East Midlands",54,2009,53542,"adults","2-64","31-64","45-64","45-64"
"East Midlands",54,2010,54975,"adults","2-64","31-64","45-64","45-64"
"East Midlands",54,2011,56452,"adults","2-64","31-64","45-64","45-64"
"East Midlands",54,2012,58671,"adults","2-64","31-64","45-64","45-64"
"East Midlands",54,2013,60011,"adults","2-64","31-64","45-64","45-64"
"East Midlands",54,2014,61585,"adults","2-64","31-64","45-64","45-64"
"East Midlands",54,2015,64051,"adults","2-64","31-64","45-64","45-64"
"East Midlands",54,2016,66047,"adults","2-64","31-64","45-64","45-64"
"East Midlands",54,2017,67840,"adults","2-64","31-64","45-64","45-64"
"East Midlands",54,2018,68902,"adults","2-64","31-64","45-64","45-64"
"East Midlands",54,2019,70251,"adults","2-64","31-64","45-64","45-64"
"East Midlands",54,2020,69194,"adults","2-64","31-64","45-64","45-64"
"East Midlands",54,2021,69958,"adults","2-64","31-64","45-64","45-64"
"East Midlands",54,2022,69636,"adults","2-64","31-64","45-64","45-64"
"East Midlands",54,2023,70155,"adults","2-64","31-64","45-64","45-64"
"East Midlands",54,2024,70155,"adults","2-64","31-64","45-64","45-64"
"East Midlands",55,2001,54110,"adults","2-64","31-64","45-64","45-64"
"East Midlands",55,2002,65992,"adults","2-64","31-64","45-64","45-64"
"East Midlands",55,2003,62382,"adults","2-64","31-64","45-64","45-64"
"East Midlands",55,2004,57869,"adults","2-64","31-64","45-64","45-64"
"East Midlands",55,2005,56559,"adults","2-64","31-64","45-64","45-64"
"East Midlands",55,2006,54425,"adults","2-64","31-64","45-64","45-64"
"East Midlands",55,2007,53894,"adults","2-64","31-64","45-64","45-64"
"East Midlands",55,2008,54154,"adults","2-64","31-64","45-64","45-64"
"East Midlands",55,2009,54723,"adults","2-64","31-64","45-64","45-64"
"East Midlands",55,2010,53454,"adults","2-64","31-64","45-64","45-64"
"East Midlands",55,2011,54839,"adults","2-64","31-64","45-64","45-64"
"East Midlands",55,2012,56333,"adults","2-64","31-64","45-64","45-64"
"East Midlands",55,2013,58608,"adults","2-64","31-64","45-64","45-64"
"East Midlands",55,2014,60001,"adults","2-64","31-64","45-64","45-64"
"East Midlands",55,2015,61497,"adults","2-64","31-64","45-64","45-64"
"East Midlands",55,2016,64128,"adults","2-64","31-64","45-64","45-64"
"East Midlands",55,2017,66113,"adults","2-64","31-64","45-64","45-64"
"East Midlands",55,2018,67949,"adults","2-64","31-64","45-64","45-64"
"East Midlands",55,2019,68800,"adults","2-64","31-64","45-64","45-64"
"East Midlands",55,2020,70037,"adults","2-64","31-64","45-64","45-64"
"East Midlands",55,2021,69350,"adults","2-64","31-64","45-64","45-64"
"East Midlands",55,2022,69907,"adults","2-64","31-64","45-64","45-64"
"East Midlands",55,2023,69610,"adults","2-64","31-64","45-64","45-64"
"East Midlands",55,2024,69610,"adults","2-64","31-64","45-64","45-64"
"East Midlands",56,2001,53994,"adults","2-64","31-64","45-64","45-64"
"East Midlands",56,2002,53928,"adults","2-64","31-64","45-64","45-64"
"East Midlands",56,2003,65994,"adults","2-64","31-64","45-64","45-64"
"East Midlands",56,2004,62191,"adults","2-64","31-64","45-64","45-64"
"East Midlands",56,2005,57713,"adults","2-64","31-64","45-64","45-64"
"East Midlands",56,2006,56445,"adults","2-64","31-64","45-64","45-64"
"East Midlands",56,2007,54339,"adults","2-64","31-64","45-64","45-64"
"East Midlands",56,2008,53684,"adults","2-64","31-64","45-64","45-64"
"East Midlands",56,2009,54154,"adults","2-64","31-64","45-64","45-64"
"East Midlands",56,2010,54724,"adults","2-64","31-64","45-64","45-64"
"East Midlands",56,2011,53310,"adults","2-64","31-64","45-64","45-64"
"East Midlands",56,2012,54663,"adults","2-64","31-64","45-64","45-64"
"East Midlands",56,2013,56186,"adults","2-64","31-64","45-64","45-64"
"East Midlands",56,2014,58596,"adults","2-64","31-64","45-64","45-64"
"East Midlands",56,2015,59965,"adults","2-64","31-64","45-64","45-64"
"East Midlands",56,2016,61419,"adults","2-64","31-64","45-64","45-64"
"East Midlands",56,2017,64140,"adults","2-64","31-64","45-64","45-64"
"East Midlands",56,2018,66182,"adults","2-64","31-64","45-64","45-64"
"East Midlands",56,2019,67903,"adults","2-64","31-64","45-64","45-64"
"East Midlands",56,2020,68578,"adults","2-64","31-64","45-64","45-64"
"East Midlands",56,2021,69977,"adults","2-64","31-64","45-64","45-64"
"East Midlands",56,2022,69265,"adults","2-64","31-64","45-64","45-64"
"East Midlands",56,2023,69915,"adults","2-64","31-64","45-64","45-64"
"East Midlands",56,2024,69915,"adults","2-64","31-64","45-64","45-64"
"East Midlands",57,2001,53031,"adults","2-64","31-64","45-64","45-64"
"East Midlands",57,2002,53793,"adults","2-64","31-64","45-64","45-64"
"East Midlands",57,2003,53633,"adults","2-64","31-64","45-64","45-64"
"East Midlands",57,2004,66049,"adults","2-64","31-64","45-64","45-64"
"East Midlands",57,2005,61935,"adults","2-64","31-64","45-64","45-64"
"East Midlands",57,2006,57484,"adults","2-64","31-64","45-64","45-64"
"East Midlands",57,2007,56271,"adults","2-64","31-64","45-64","45-64"
"East Midlands",57,2008,54167,"adults","2-64","31-64","45-64","45-64"
"East Midlands",57,2009,53570,"adults","2-64","31-64","45-64","45-64"
"East Midlands",57,2010,54147,"adults","2-64","31-64","45-64","45-64"
"East Midlands",57,2011,54648,"adults","2-64","31-64","45-64","45-64"
"East Midlands",57,2012,53079,"adults","2-64","31-64","45-64","45-64"
"East Midlands",57,2013,54597,"adults","2-64","31-64","45-64","45-64"
"East Midlands",57,2014,55984,"adults","2-64","31-64","45-64","45-64"
"East Midlands",57,2015,58522,"adults","2-64","31-64","45-64","45-64"
"East Midlands",57,2016,59922,"adults","2-64","31-64","45-64","45-64"
"East Midlands",57,2017,61396,"adults","2-64","31-64","45-64","45-64"
"East Midlands",57,2018,64061,"adults","2-64","31-64","45-64","45-64"
"East Midlands",57,2019,66009,"adults","2-64","31-64","45-64","45-64"
"East Midlands",57,2020,67658,"adults","2-64","31-64","45-64","45-64"
"East Midlands",57,2021,68529,"adults","2-64","31-64","45-64","45-64"
"East Midlands",57,2022,69840,"adults","2-64","31-64","45-64","45-64"
"East Midlands",57,2023,69225,"adults","2-64","31-64","45-64","45-64"
"East Midlands",57,2024,69225,"adults","2-64","31-64","45-64","45-64"
"East Midlands",58,2001,49322,"adults","2-64","31-64","45-64","45-64"
"East Midlands",58,2002,52960,"adults","2-64","31-64","45-64","45-64"
"East Midlands",58,2003,53404,"adults","2-64","31-64","45-64","45-64"
"East Midlands",58,2004,53390,"adults","2-64","31-64","45-64","45-64"
"East Midlands",58,2005,66025,"adults","2-64","31-64","45-64","45-64"
"East Midlands",58,2006,61763,"adults","2-64","31-64","45-64","45-64"
"East Midlands",58,2007,57414,"adults","2-64","31-64","45-64","45-64"
"East Midlands",58,2008,56042,"adults","2-64","31-64","45-64","45-64"
"East Midlands",58,2009,53972,"adults","2-64","31-64","45-64","45-64"
"East Midlands",58,2010,53394,"adults","2-64","31-64","45-64","45-64"
"East Midlands",58,2011,54031,"adults","2-64","31-64","45-64","45-64"
"East Midlands",58,2012,54404,"adults","2-64","31-64","45-64","45-64"
"East Midlands",58,2013,52882,"adults","2-64","31-64","45-64","45-64"
"East Midlands",58,2014,54542,"adults","2-64","31-64","45-64","45-64"
"East Midlands",58,2015,55827,"adults","2-64","31-64","45-64","45-64"
"East Midlands",58,2016,58429,"adults","2-64","31-64","45-64","45-64"
"East Midlands",58,2017,59805,"adults","2-64","31-64","45-64","45-64"
"East Midlands",58,2018,61267,"adults","2-64","31-64","45-64","45-64"
"East Midlands",58,2019,63842,"adults","2-64","31-64","45-64","45-64"
"East Midlands",58,2020,65844,"adults","2-64","31-64","45-64","45-64"
"East Midlands",58,2021,67709,"adults","2-64","31-64","45-64","45-64"
"East Midlands",58,2022,68441,"adults","2-64","31-64","45-64","45-64"
"East Midlands",58,2023,69709,"adults","2-64","31-64","45-64","45-64"
"East Midlands",58,2024,69709,"adults","2-64","31-64","45-64","45-64"
"East Midlands",59,2001,43995,"adults","2-64","31-64","45-64","45-64"
"East Midlands",59,2002,49159,"adults","2-64","31-64","45-64","45-64"
"East Midlands",59,2003,52808,"adults","2-64","31-64","45-64","45-64"
"East Midlands",59,2004,53010,"adults","2-64","31-64","45-64","45-64"
"East Midlands",59,2005,53034,"adults","2-64","31-64","45-64","45-64"
"East Midlands",59,2006,66022,"adults","2-64","31-64","45-64","45-64"
"East Midlands",59,2007,61544,"adults","2-64","31-64","45-64","45-64"
"East Midlands",59,2008,57176,"adults","2-64","31-64","45-64","45-64"
"East Midlands",59,2009,55868,"adults","2-64","31-64","45-64","45-64"
"East Midlands",59,2010,53932,"adults","2-64","31-64","45-64","45-64"
"East Midlands",59,2011,53157,"adults","2-64","31-64","45-64","45-64"
"East Midlands",59,2012,53798,"adults","2-64","31-64","45-64","45-64"
"East Midlands",59,2013,54157,"adults","2-64","31-64","45-64","45-64"
"East Midlands",59,2014,52723,"adults","2-64","31-64","45-64","45-64"
"East Midlands",59,2015,54423,"adults","2-64","31-64","45-64","45-64"
"East Midlands",59,2016,55722,"adults","2-64","31-64","45-64","45-64"
"East Midlands",59,2017,58378,"adults","2-64","31-64","45-64","45-64"
"East Midlands",59,2018,59699,"adults","2-64","31-64","45-64","45-64"
"East Midlands",59,2019,61103,"adults","2-64","31-64","45-64","45-64"
"East Midlands",59,2020,63563,"adults","2-64","31-64","45-64","45-64"
"East Midlands",59,2021,65664,"adults","2-64","31-64","45-64","45-64"
"East Midlands",59,2022,67644,"adults","2-64","31-64","45-64","45-64"
"East Midlands",59,2023,68275,"adults","2-64","31-64","45-64","45-64"
"East Midlands",59,2024,68275,"adults","2-64","31-64","45-64","45-64"
"East Midlands",60,2001,41119,"adults","2-64","31-64","45-64","45-64"
"East Midlands",60,2002,43930,"adults","2-64","31-64","45-64","45-64"
"East Midlands",60,2003,49008,"adults","2-64","31-64","45-64","45-64"
"East Midlands",60,2004,52688,"adults","2-64","31-64","45-64","45-64"
"East Midlands",60,2005,52580,"adults","2-64","31-64","45-64","45-64"
"East Midlands",60,2006,52672,"adults","2-64","31-64","45-64","45-64"
"East Midlands",60,2007,65759,"adults","2-64","31-64","45-64","45-64"
"East Midlands",60,2008,61320,"adults","2-64","31-64","45-64","45-64"
"East Midlands",60,2009,56892,"adults","2-64","31-64","45-64","45-64"
"East Midlands",60,2010,55710,"adults","2-64","31-64","45-64","45-64"
"East Midlands",60,2011,53777,"adults","2-64","31-64","45-64","45-64"
"East Midlands",60,2012,52992,"adults","2-64","31-64","45-64","45-64"
"East Midlands",60,2013,53561,"adults","2-64","31-64","45-64","45-64"
"East Midlands",60,2014,53875,"adults","2-64","31-64","45-64","45-64"
"East Midlands",60,2015,52474,"adults","2-64","31-64","45-64","45-64"
"East Midlands",60,2016,54341,"adults","2-64","31-64","45-64","45-64"
"East Midlands",60,2017,55709,"adults","2-64","31-64","45-64","45-64"
"East Midlands",60,2018,58088,"adults","2-64","31-64","45-64","45-64"
"East Midlands",60,2019,59491,"adults","2-64","31-64","45-64","45-64"
"East Midlands",60,2020,60767,"adults","2-64","31-64","45-64","45-64"
"East Midlands",60,2021,63396,"adults","2-64","31-64","45-64","45-64"
"East Midlands",60,2022,65608,"adults","2-64","31-64","45-64","45-64"
"East Midlands",60,2023,67546,"adults","2-64","31-64","45-64","45-64"
"East Midlands",60,2024,67546,"adults","2-64","31-64","45-64","45-64"
"East Midlands",61,2001,42210,"adults","2-64","31-64","45-64","45-64"
"East Midlands",61,2002,40970,"adults","2-64","31-64","45-64","45-64"
"East Midlands",61,2003,43800,"adults","2-64","31-64","45-64","45-64"
"East Midlands",61,2004,48837,"adults","2-64","31-64","45-64","45-64"
"East Midlands",61,2005,52499,"adults","2-64","31-64","45-64","45-64"
"East Midlands",61,2006,52160,"adults","2-64","31-64","45-64","45-64"
"East Midlands",61,2007,52178,"adults","2-64","31-64","45-64","45-64"
"East Midlands",61,2008,65737,"adults","2-64","31-64","45-64","45-64"
"East Midlands",61,2009,61028,"adults","2-64","31-64","45-64","45-64"
"East Midlands",61,2010,56749,"adults","2-64","31-64","45-64","45-64"
"East Midlands",61,2011,55349,"adults","2-64","31-64","45-64","45-64"
"East Midlands",61,2012,53565,"adults","2-64","31-64","45-64","45-64"
"East Midlands",61,2013,52688,"adults","2-64","31-64","45-64","45-64"
"East Midlands",61,2014,53277,"adults","2-64","31-64","45-64","45-64"
"East Midlands",61,2015,53724,"adults","2-64","31-64","45-64","45-64"
"East Midlands",61,2016,52349,"adults","2-64","31-64","45-64","45-64"
"East Midlands",61,2017,54171,"adults","2-64","31-64","45-64","45-64"
"East Midlands",61,2018,55512,"adults","2-64","31-64","45-64","45-64"
"East Midlands",61,2019,57827,"adults","2-64","31-64","45-64","45-64"
"East Midlands",61,2020,59102,"adults","2-64","31-64","45-64","45-64"
"East Midlands",61,2021,60645,"adults","2-64","31-64","45-64","45-64"
"East Midlands",61,2022,63334,"adults","2-64","31-64","45-64","45-64"
"East Midlands",61,2023,65366,"adults","2-64","31-64","45-64","45-64"
"East Midlands",61,2024,65366,"adults","2-64","31-64","45-64","45-64"
"East Midlands",62,2001,42215,"adults","2-64","31-64","45-64","45-64"
"East Midlands",62,2002,42019,"adults","2-64","31-64","45-64","45-64"
"East Midlands",62,2003,40670,"adults","2-64","31-64","45-64","45-64"
"East Midlands",62,2004,43561,"adults","2-64","31-64","45-64","45-64"
"East Midlands",62,2005,48521,"adults","2-64","31-64","45-64","45-64"
"East Midlands",62,2006,52241,"adults","2-64","31-64","45-64","45-64"
"East Midlands",62,2007,51676,"adults","2-64","31-64","45-64","45-64"
"East Midlands",62,2008,51765,"adults","2-64","31-64","45-64","45-64"
"East Midlands",62,2009,65517,"adults","2-64","31-64","45-64","45-64"
"East Midlands",62,2010,60697,"adults","2-64","31-64","45-64","45-64"
"East Midlands",62,2011,56472,"adults","2-64","31-64","45-64","45-64"
"East Midlands",62,2012,55065,"adults","2-64","31-64","45-64","45-64"
"East Midlands",62,2013,53270,"adults","2-64","31-64","45-64","45-64"
"East Midlands",62,2014,52440,"adults","2-64","31-64","45-64","45-64"
"East Midlands",62,2015,52974,"adults","2-64","31-64","45-64","45-64"
"East Midlands",62,2016,53530,"adults","2-64","31-64","45-64","45-64"
"East Midlands",62,2017,52104,"adults","2-64","31-64","45-64","45-64"
"East Midlands",62,2018,53899,"adults","2-64","31-64","45-64","45-64"
"East Midlands",62,2019,55201,"adults","2-64","31-64","45-64","45-64"
"East Midlands",62,2020,57554,"adults","2-64","31-64","45-64","45-64"
"East Midlands",62,2021,58908,"adults","2-64","31-64","45-64","45-64"
"East Midlands",62,2022,60429,"adults","2-64","31-64","45-64","45-64"
"East Midlands",62,2023,63173,"adults","2-64","31-64","45-64","45-64"
"East Midlands",62,2024,63173,"adults","2-64","31-64","45-64","45-64"
"East Midlands",63,2001,41877,"adults","2-64","31-64","45-64","45-64"
"East Midlands",63,2002,42087,"adults","2-64","31-64","45-64","45-64"
"East Midlands",63,2003,41800,"adults","2-64","31-64","45-64","45-64"
"East Midlands",63,2004,40251,"adults","2-64","31-64","45-64","45-64"
"East Midlands",63,2005,43073,"adults","2-64","31-64","45-64","45-64"
"East Midlands",63,2006,48163,"adults","2-64","31-64","45-64","45-64"
"East Midlands",63,2007,51861,"adults","2-64","31-64","45-64","45-64"
"East Midlands",63,2008,51264,"adults","2-64","31-64","45-64","45-64"
"East Midlands",63,2009,51345,"adults","2-64","31-64","45-64","45-64"
"East Midlands",63,2010,65305,"adults","2-64","31-64","45-64","45-64"
"East Midlands",63,2011,60235,"adults","2-64","31-64","45-64","45-64"
"East Midlands",63,2012,56114,"adults","2-64","31-64","45-64","45-64"
"East Midlands",63,2013,54672,"adults","2-64","31-64","45-64","45-64"
"East Midlands",63,2014,52904,"adults","2-64","31-64","45-64","45-64"
"East Midlands",63,2015,52224,"adults","2-64","31-64","45-64","45-64"
"East Midlands",63,2016,52731,"adults","2-64","31-64","45-64","45-64"
"East Midlands",63,2017,53251,"adults","2-64","31-64","45-64","45-64"
"East Midlands",63,2018,51822,"adults","2-64","31-64","45-64","45-64"
"East Midlands",63,2019,53579,"adults","2-64","31-64","45-64","45-64"
"East Midlands",63,2020,54816,"adults","2-64","31-64","45-64","45-64"
"East Midlands",63,2021,57323,"adults","2-64","31-64","45-64","45-64"
"East Midlands",63,2022,58721,"adults","2-64","31-64","45-64","45-64"
"East Midlands",63,2023,60116,"adults","2-64","31-64","45-64","45-64"
"East Midlands",63,2024,60116,"adults","2-64","31-64","45-64","45-64"
"East Midlands",64,2001,40556,"adults","2-64","31-64","45-64","45-64"
"East Midlands",64,2002,41687,"adults","2-64","31-64","45-64","45-64"
"East Midlands",64,2003,41864,"adults","2-64","31-64","45-64","45-64"
"East Midlands",64,2004,41450,"adults","2-64","31-64","45-64","45-64"
"East Midlands",64,2005,39801,"adults","2-64","31-64","45-64","45-64"
"East Midlands",64,2006,42678,"adults","2-64","31-64","45-64","45-64"
"East Midlands",64,2007,47711,"adults","2-64","31-64","45-64","45-64"
"East Midlands",64,2008,51647,"adults","2-64","31-64","45-64","45-64"
"East Midlands",64,2009,50724,"adults","2-64","31-64","45-64","45-64"
"East Midlands",64,2010,50858,"adults","2-64","31-64","45-64","45-64"
"East Midlands",64,2011,65063,"adults","2-64","31-64","45-64","45-64"
"East Midlands",64,2012,59913,"adults","2-64","31-64","45-64","45-64"
"East Midlands",64,2013,55709,"adults","2-64","31-64","45-64","45-64"
"East Midlands",64,2014,54367,"adults","2-64","31-64","45-64","45-64"
"East Midlands",64,2015,52574,"adults","2-64","31-64","45-64","45-64"
"East Midlands",64,2016,51967,"adults","2-64","31-64","45-64","45-64"
"East Midlands",64,2017,52477,"adults","2-64","31-64","45-64","45-64"
"East Midlands",64,2018,52835,"adults","2-64","31-64","45-64","45-64"
"East Midlands",64,2019,51409,"adults","2-64","31-64","45-64","45-64"
"East Midlands",64,2020,53106,"adults","2-64","31-64","45-64","45-64"
"East Midlands",64,2021,54536,"adults","2-64","31-64","45-64","45-64"
"East Midlands",64,2022,57058,"adults","2-64","31-64","45-64","45-64"
"East Midlands",64,2023,58426,"adults","2-64","31-64","45-64","45-64"
"East Midlands",64,2024,58426,"adults","2-64","31-64","45-64","45-64"
"East Midlands",65,2001,39262,"adults","65+","65+","65+","65+"
"East Midlands",65,2002,40286,"adults","65+","65+","65+","65+"
"East Midlands",65,2003,41349,"adults","65+","65+","65+","65+"
"East Midlands",65,2004,41430,"adults","65+","65+","65+","65+"
"East Midlands",65,2005,41019,"adults","65+","65+","65+","65+"
"East Midlands",65,2006,39278,"adults","65+","65+","65+","65+"
"East Midlands",65,2007,42210,"adults","65+","65+","65+","65+"
"East Midlands",65,2008,47420,"adults","65+","65+","65+","65+"
"East Midlands",65,2009,51226,"adults","65+","65+","65+","65+"
